Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks,Year_Num,Month_Num,Source_File,% 52 plus weeks
Y62,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,X06,Other - Other Services,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,C_100,General Surgery Service,155,75,48.40%,18.5,51.9,12,-,1,2024,5,RTT_2024_MAY,
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,C_101,Urology Service,"2,005","1,024",51.10%,17.5,49.5,117,-,5,2024,5,RTT_2024_MAY,
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,"3,534","2,300",65.10%,12.7,36.8,50,-,-,2024,5,RTT_2024_MAY,
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,"2,294","1,547",67.40%,10.9,39.8,71,-,5,2024,5,RTT_2024_MAY,
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,C_130,Ophthalmology Service,"4,247","2,521",59.40%,14.1,40.8,139,-,8,2024,5,RTT_2024_MAY,
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,C_140,Oral Surgery Service,"4,687","2,067",44.10%,20.7,56.8,554,-,197,2024,5,RTT_2024_MAY,
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,C_150,Neurosurgical Service,"3,714","1,972",53.10%,16.7,44.8,105,-,1,2024,5,RTT_2024_MAY,
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,"3,041","1,579",51.90%,17.1,47.6,150,-,-,2024,5,RTT_2024_MAY,
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,"2,335","1,264",54.10%,16,48.7,129,-,1,2024,5,RTT_2024_MAY,
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,C_301,Gastroenterology Service,"1,887",775,41.10%,22.5,49,90,-,-,2024,5,RTT_2024_MAY,
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,C_320,Cardiology Service,"3,245","1,922",59.20%,14.8,38.5,62,-,3,2024,5,RTT_2024_MAY,
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,C_330,Dermatology Service,"2,126","1,675",78.80%,8.3,27.9,2,-,-,2024,5,RTT_2024_MAY,
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,C_400,Neurology Service,"6,610","3,352",50.70%,17.6,45.4,190,-,10,2024,5,RTT_2024_MAY,
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,C_410,Rheumatology Service,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,C_430,Elderly Medicine Service,158,124,78.50%,7.9,33.7,3,-,-,2024,5,RTT_2024_MAY,
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,C_502,Gynaecology Service,"2,032","1,129",55.60%,15.7,40.3,22,-,1,2024,5,RTT_2024_MAY,
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,X02,Other - Medical Services,"5,620","3,093",55.00%,16.1,50.5,390,-,43,2024,5,RTT_2024_MAY,
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,X04,Other - Paediatric Services,"2,561","1,247",48.70%,18.5,48.9,148,-,11,2024,5,RTT_2024_MAY,
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,X05,Other - Surgical Services,"7,903","4,442",56.20%,15.3,46.8,323,-,31,2024,5,RTT_2024_MAY,
Y62,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,X06,Other - Other Services,636,492,77.40%,5.9,40.1,4,-,-,2024,5,RTT_2024_MAY,
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,C_100,General Surgery Service,"5,304","2,407",45.40%,20.8,51.5,401,-,25,2024,5,RTT_2024_MAY,
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,C_101,Urology Service,"3,398","1,986",58.40%,15.3,39,24,-,4,2024,5,RTT_2024_MAY,
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,C_110,Trauma and Orthopaedic Service,"8,961","5,158",57.60%,12.6,51.5,676,-,67,2024,5,RTT_2024_MAY,
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,C_120,Ear Nose and Throat Service,"7,283","4,228",58.10%,15.3,42.6,197,-,11,2024,5,RTT_2024_MAY,
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,C_130,Ophthalmology Service,"5,596","3,965",70.90%,10.8,34.7,71,-,-,2024,5,RTT_2024_MAY,
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,C_140,Oral Surgery Service,"5,769","2,465",42.70%,22,51.8,450,-,22,2024,5,RTT_2024_MAY,
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,C_160,Plastic Surgery Service,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,C_300,General Internal Medicine Service,2,1,50.00%,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,C_301,Gastroenterology Service,"6,085","2,272",37.30%,25.9,53,536,-,9,2024,5,RTT_2024_MAY,
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,C_320,Cardiology Service,"5,509","2,188",39.70%,23.8,51.2,392,-,-,2024,5,RTT_2024_MAY,
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,C_330,Dermatology Service,"3,110","1,261",40.50%,24.5,57.4,435,-,51,2024,5,RTT_2024_MAY,
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,C_340,Respiratory Medicine Service,"1,098",985,89.70%,8,19.1,-,-,-,2024,5,RTT_2024_MAY,
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,C_400,Neurology Service,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,C_410,Rheumatology Service,"1,337",674,50.40%,17.8,42.5,10,-,-,2024,5,RTT_2024_MAY,
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,C_430,Elderly Medicine Service,47,44,93.60%,5.9,13.8,-,-,-,2024,5,RTT_2024_MAY,
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,C_502,Gynaecology Service,"8,084","3,717",46.00%,19.9,49.5,430,-,31,2024,5,RTT_2024_MAY,
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,X02,Other - Medical Services,"3,295","2,361",71.70%,11.8,29.8,115,-,41,2024,5,RTT_2024_MAY,
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,X04,Other - Paediatric Services,"3,654","2,204",60.30%,14.8,40.3,65,-,13,2024,5,RTT_2024_MAY,
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,X05,Other - Surgical Services,"3,702","2,297",62.00%,13.1,40.9,30,-,-,2024,5,RTT_2024_MAY,
Y62,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,X06,Other - Other Services,41,25,61.00%,8.5,37.4,-,-,-,2024,5,RTT_2024_MAY,
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_100,General Surgery Service,"4,740","3,644",76.90%,7.8,29.5,-,-,-,2024,5,RTT_2024_MAY,
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_101,Urology Service,"5,966","4,251",71.30%,11,35.3,28,-,-,2024,5,RTT_2024_MAY,
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,"8,788","4,327",49.20%,18.3,49.2,498,-,61,2024,5,RTT_2024_MAY,
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,"4,854","3,762",77.50%,9.2,28.8,7,-,-,2024,5,RTT_2024_MAY,
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_130,Ophthalmology Service,"9,299","6,774",72.80%,10.2,31.4,28,5,9,2024,5,RTT_2024_MAY,
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_140,Oral Surgery Service,"4,111","2,778",67.60%,12.4,31.9,1,-,-,2024,5,RTT_2024_MAY,
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_301,Gastroenterology Service,"1,190","1,131",95.00%,4.1,14.2,-,-,-,2024,5,RTT_2024_MAY,
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_320,Cardiology Service,"1,743","1,474",84.60%,7.6,24.3,-,-,-,2024,5,RTT_2024_MAY,
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_330,Dermatology Service,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,"2,816","2,052",72.90%,10.2,30.8,-,-,-,2024,5,RTT_2024_MAY,
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_400,Neurology Service,"1,094",970,88.70%,6.6,20.4,-,-,-,2024,5,RTT_2024_MAY,
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_410,Rheumatology Service,"1,192",989,83.00%,8.1,24.3,-,-,-,2024,5,RTT_2024_MAY,
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_430,Elderly Medicine Service,550,522,94.90%,4.4,16,-,-,-,2024,5,RTT_2024_MAY,
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,C_502,Gynaecology Service,"3,124","2,558",81.90%,7.8,26.6,-,-,-,2024,5,RTT_2024_MAY,
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,X02,Other - Medical Services,"1,730","1,471",85.00%,7.3,23.8,-,-,-,2024,5,RTT_2024_MAY,
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,X04,Other - Paediatric Services,"2,361","1,667",70.60%,9.2,33.1,-,-,-,2024,5,RTT_2024_MAY,
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,X05,Other - Surgical Services,165,89,53.90%,15.5,44.8,-,-,-,2024,5,RTT_2024_MAY,
Y63,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,X06,Other - Other Services,"7,978","6,939",87.00%,8.8,19.9,-,-,-,2024,5,RTT_2024_MAY,
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,C_100,General Surgery Service,"1,361",771,56.60%,15,41.3,17,-,-,2024,5,RTT_2024_MAY,
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,C_101,Urology Service,"2,265","1,559",68.80%,11.4,32.3,1,-,-,2024,5,RTT_2024_MAY,
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,"2,133",907,42.50%,21.8,56.2,232,-,65,2024,5,RTT_2024_MAY,
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,"3,956","2,229",56.30%,15,40.3,86,-,-,2024,5,RTT_2024_MAY,
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,C_130,Ophthalmology Service,"2,880","1,932",67.10%,12.7,31.4,5,-,-,2024,5,RTT_2024_MAY,
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,C_140,Oral Surgery Service,"1,717",958,55.80%,15.5,40.9,30,-,1,2024,5,RTT_2024_MAY,
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,914,606,66.30%,11.8,34.5,10,-,-,2024,5,RTT_2024_MAY,
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,42,33,78.60%,2.8,25.3,-,-,-,2024,5,RTT_2024_MAY,
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,C_301,Gastroenterology Service,"1,398",992,71.00%,10.7,30,1,-,-,2024,5,RTT_2024_MAY,
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,C_320,Cardiology Service,"1,599","1,100",68.80%,12.1,29.8,-,-,-,2024,5,RTT_2024_MAY,
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,C_330,Dermatology Service,"1,810","1,374",75.90%,10.5,27.2,-,-,-,2024,5,RTT_2024_MAY,
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,"1,075",738,68.70%,11.8,30.5,-,-,-,2024,5,RTT_2024_MAY,
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,C_400,Neurology Service,"1,162",535,46.00%,19.2,41,1,-,-,2024,5,RTT_2024_MAY,
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,C_410,Rheumatology Service,437,391,89.50%,4.8,20.3,-,-,-,2024,5,RTT_2024_MAY,
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,C_430,Elderly Medicine Service,68,64,94.10%,7,17.5,-,-,-,2024,5,RTT_2024_MAY,
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,C_502,Gynaecology Service,"3,267","2,148",65.70%,12.9,36.5,17,-,-,2024,5,RTT_2024_MAY,
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,X02,Other - Medical Services,"3,791","2,827",74.60%,10.2,28.1,2,-,-,2024,5,RTT_2024_MAY,
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,X04,Other - Paediatric Services,"1,907","1,238",64.90%,12.2,37.2,5,-,-,2024,5,RTT_2024_MAY,
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,X05,Other - Surgical Services,"3,430","2,246",65.50%,11.6,37.2,28,-,1,2024,5,RTT_2024_MAY,
Y63,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,X06,Other - Other Services,521,466,89.40%,6.3,19,-,-,-,2024,5,RTT_2024_MAY,
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,C_100,General Surgery Service,285,278,97.50%,1.6,3.9,-,-,-,2024,5,RTT_2024_MAY,
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,C_101,Urology Service,"3,303","1,626",49.20%,18.5,48.8,164,-,25,2024,5,RTT_2024_MAY,
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,"3,869","2,203",56.90%,15.1,45,100,-,5,2024,5,RTT_2024_MAY,
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,"5,910","2,959",50.10%,18,46.3,203,-,24,2024,5,RTT_2024_MAY,
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,C_130,Ophthalmology Service,"6,072","3,634",59.80%,14.4,43.8,170,-,11,2024,5,RTT_2024_MAY,
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,C_140,Oral Surgery Service,"2,127","1,060",49.80%,18.1,50.8,158,-,34,2024,5,RTT_2024_MAY,
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,170,130,76.50%,10,29.9,2,-,-,2024,5,RTT_2024_MAY,
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,62,8,12.90%,43.2,49,4,-,1,2024,5,RTT_2024_MAY,
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,1,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,C_301,Gastroenterology Service,"1,657",847,51.10%,17.7,49.2,95,-,1,2024,5,RTT_2024_MAY,
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,C_320,Cardiology Service,"2,104","1,074",51.00%,17.5,43.1,33,-,4,2024,5,RTT_2024_MAY,
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,C_330,Dermatology Service,"3,085","1,327",43.00%,22.5,46.3,64,-,1,2024,5,RTT_2024_MAY,
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,"1,462",855,58.50%,14.9,45.1,46,-,-,2024,5,RTT_2024_MAY,
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,C_400,Neurology Service,"1,650",687,41.60%,23.2,55.5,171,-,25,2024,5,RTT_2024_MAY,
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,C_410,Rheumatology Service,579,472,81.50%,7.3,27.9,3,-,1,2024,5,RTT_2024_MAY,
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,C_430,Elderly Medicine Service,158,149,94.30%,5.5,16.4,1,-,-,2024,5,RTT_2024_MAY,
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,C_502,Gynaecology Service,"2,942","1,448",49.20%,18.6,49.5,164,-,6,2024,5,RTT_2024_MAY,
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,X02,Other - Medical Services,"4,772","3,011",63.10%,13,42,57,-,2,2024,5,RTT_2024_MAY,
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,X04,Other - Paediatric Services,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,X05,Other - Surgical Services,"5,335","3,001",56.30%,15.7,44.7,185,-,22,2024,5,RTT_2024_MAY,
Y63,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,X06,Other - Other Services,100,77,77.00%,11,26.5,-,-,-,2024,5,RTT_2024_MAY,
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,C_100,General Surgery Service,"2,303","1,443",62.70%,13.2,42.9,71,-,-,2024,5,RTT_2024_MAY,
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,C_101,Urology Service,"1,320",899,68.10%,11.1,43.1,53,-,-,2024,5,RTT_2024_MAY,
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,"3,376","1,996",59.10%,14.3,45.4,94,-,-,2024,5,RTT_2024_MAY,
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,"3,009","2,026",67.30%,12.8,33.5,56,-,-,2024,5,RTT_2024_MAY,
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,C_130,Ophthalmology Service,"1,869","1,257",67.30%,11.6,43.4,31,-,-,2024,5,RTT_2024_MAY,
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,C_140,Oral Surgery Service,781,523,67.00%,10.8,41.6,25,-,-,2024,5,RTT_2024_MAY,
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,C_150,Neurosurgical Service,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,C_160,Plastic Surgery Service,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,C_300,General Internal Medicine Service,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,C_301,Gastroenterology Service,996,572,57.40%,14.6,43.2,19,-,-,2024,5,RTT_2024_MAY,
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,C_320,Cardiology Service,"1,417",925,65.30%,12.3,32.6,-,-,-,2024,5,RTT_2024_MAY,
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,C_330,Dermatology Service,"1,678","1,514",90.20%,6.3,19.9,-,-,-,2024,5,RTT_2024_MAY,
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,462,326,70.60%,12.8,33,4,-,-,2024,5,RTT_2024_MAY,
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,C_400,Neurology Service,861,450,52.30%,17.2,40,2,-,-,2024,5,RTT_2024_MAY,
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,C_410,Rheumatology Service,389,344,88.40%,6.4,20.4,-,-,-,2024,5,RTT_2024_MAY,
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,C_430,Elderly Medicine Service,46,39,84.80%,6.4,27.3,-,-,-,2024,5,RTT_2024_MAY,
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,C_502,Gynaecology Service,"1,864","1,103",59.20%,14.8,39.6,57,-,-,2024,5,RTT_2024_MAY,
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,X02,Other - Medical Services,"1,032",785,76.10%,9.6,32.1,3,-,-,2024,5,RTT_2024_MAY,
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,X03,Other - Mental Health Services,-,-,-,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,X04,Other - Paediatric Services,804,565,70.30%,11.7,32,6,-,-,2024,5,RTT_2024_MAY,
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,X05,Other - Surgical Services,767,566,73.80%,7.8,33.3,8,-,-,2024,5,RTT_2024_MAY,
Y63,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,X06,Other - Other Services,8,7,87.50%,-,-,-,-,-,2024,5,RTT_2024_MAY,
Y63,RCF,AIREDALE NHS FOUNDATION TRUST,C_100,General Surgery Service,"2,063","1,203",58.30%,13.6,49,117,-,4,2024,5,RTT_2024_MAY,
Y63,RCF,AIREDALE NHS FOUNDATION TRUST,C_101,Urology Service,"1,118",733,65.60%,11.6,41.9,29,-,-,2024,5,RTT_2024_MAY,
Y63,RCF,AIREDALE NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,"1,496",758,50.70%,17.4,48.9,68,-,5,2024,5,RTT_2024_MAY,
Y63,RCF,AIREDALE NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service,"1,355",731,53.90%,16.1,37,3,-,-,2024,5,RTT_2024_MAY,
Y63,RCF,AIREDALE NHS FOUNDATION TRUST,C_130,Ophthalmology Service,678,629,92.80%,4.9,17.5,-,-,-,2024,5,RTT_2024_MAY,
