Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Year_Num,Month_Num,Source_File, 52 plus 
Y60,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,C_160,Plastic Surgery,753,643,85.40%,6.6,22.9,2019,12,RTT_2019_DEC,
Y60,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,C_170,Cardiothoracic Surgery,96,89,92.70%,7.3,17.7,2019,12,RTT_2019_DEC,
Y60,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,C_300,General Medicine,1,1,100.00%,-,-,2019,12,RTT_2019_DEC,
Y60,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,C_301,Gastroenterology,"3,560","2,935",82.40%,8.8,23,2019,12,RTT_2019_DEC,
Y60,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,C_320,Cardiology,"3,336","2,814",84.40%,8.6,22.6,2019,12,RTT_2019_DEC,
Y60,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,C_330,Dermatology,"1,049","1,025",97.70%,6.9,16,2019,12,RTT_2019_DEC,
Y60,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,C_340,Thoracic Medicine,"3,917","2,805",71.60%,11.4,33.3,2019,12,RTT_2019_DEC,
Y60,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,C_400,Neurology,"3,461","2,636",76.20%,11.2,26.1,2019,12,RTT_2019_DEC,
Y60,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,C_410,Rheumatology,752,555,73.80%,12.5,26.4,2019,12,RTT_2019_DEC,
Y60,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,C_430,Geriatric Medicine,62,62,100.00%,7.1,13.8,2019,12,RTT_2019_DEC,
Y60,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,C_502,Gynaecology,"2,391","1,914",80.10%,9.5,25.4,2019,12,RTT_2019_DEC,
Y60,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,X01,Other,"9,659","8,563",88.70%,8,20.8,2019,12,RTT_2019_DEC,
Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,C_100,General Surgery,"2,112","1,836",86.90%,6.9,22.6,2019,12,RTT_2019_DEC,
Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,C_101,Urology,"1,780","1,578",88.70%,7,21,2019,12,RTT_2019_DEC,
Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,C_110,Trauma & Orthopaedics,"2,827","2,460",87.00%,7.5,21.4,2019,12,RTT_2019_DEC,
Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,C_120,"Ear, Nose & Throat (ENT)","3,112","2,669",85.80%,8.1,22,2019,12,RTT_2019_DEC,
Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,C_130,Ophthalmology,"5,242","4,096",78.10%,8.2,28.2,2019,12,RTT_2019_DEC,
Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,C_140,Oral Surgery,609,525,86.20%,8.4,22.6,2019,12,RTT_2019_DEC,
Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,C_150,Neurosurgery, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,C_160,Plastic Surgery,72,61,84.70%,7.4,25.2,2019,12,RTT_2019_DEC,
Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,C_300,General Medicine, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,C_301,Gastroenterology,"1,916","1,726",90.10%,6.1,19.7,2019,12,RTT_2019_DEC,
Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,C_320,Cardiology,"1,607","1,186",73.80%,9.2,31.9,2019,12,RTT_2019_DEC,
Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,C_330,Dermatology,"1,426","1,207",84.60%,8.9,21.3,2019,12,RTT_2019_DEC,
Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,C_340,Thoracic Medicine,912,819,89.80%,7.4,19.8,2019,12,RTT_2019_DEC,
Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,C_400,Neurology, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,C_410,Rheumatology,427,409,95.80%,5.1,16,2019,12,RTT_2019_DEC,
Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,C_430,Geriatric Medicine,421,405,96.20%,3.3,14.4,2019,12,RTT_2019_DEC,
Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,C_502,Gynaecology,"1,403","1,337",95.30%,5.9,16.2,2019,12,RTT_2019_DEC,
Y60,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,X01,Other,"3,030","2,826",93.30%,6.2,17,2019,12,RTT_2019_DEC,
Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,C_100,General Surgery,"3,207",,,8.8,,2019,12,RTT_2019_DEC,
Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,C_101,Urology,"1,903",,,9.6,,2019,12,RTT_2019_DEC,
Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,C_110,Trauma & Orthopaedics,"4,076",,,10.4,,2019,12,RTT_2019_DEC,
Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","1,999",,,8.4,,2019,12,RTT_2019_DEC,
Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,C_130,Ophthalmology,"3,330",,,8,,2019,12,RTT_2019_DEC,
Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,C_140,Oral Surgery,"1,449",,,6.8,,2019,12,RTT_2019_DEC,
Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,C_150,Neurosurgery,"1,635",,,9.9,,2019,12,RTT_2019_DEC,
Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,C_160,Plastic Surgery,558,,,11.8,,2019,12,RTT_2019_DEC,
Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,C_170,Cardiothoracic Surgery,154,,,7.2,,2019,12,RTT_2019_DEC,
Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,C_300,General Medicine,196,,,5.7,,2019,12,RTT_2019_DEC,
Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,C_301,Gastroenterology,"1,387",,,7,,2019,12,RTT_2019_DEC,
Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,C_320,Cardiology,"1,214",,,6.7,,2019,12,RTT_2019_DEC,
Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,C_330,Dermatology,"3,520",,,9.6,,2019,12,RTT_2019_DEC,
Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,C_340,Thoracic Medicine,"1,028",,,10.2,,2019,12,RTT_2019_DEC,
Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,C_400,Neurology,"2,170",,,8.5,,2019,12,RTT_2019_DEC,
Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,C_410,Rheumatology,705,,,8,,2019,12,RTT_2019_DEC,
Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,C_430,Geriatric Medicine,59,,,5.4,,2019,12,RTT_2019_DEC,
Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,C_502,Gynaecology,"2,050",,,9.7,,2019,12,RTT_2019_DEC,
Y60,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,X01,Other,"3,320",,,7,,2019,12,RTT_2019_DEC,
Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,C_100,General Surgery, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,C_101,Urology, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,C_110,Trauma & Orthopaedics,"5,447","4,672",85.80%,8.3,23.2,2019,12,RTT_2019_DEC,
Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,C_120,"Ear, Nose & Throat (ENT)", -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,C_140,Oral Surgery, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,C_150,Neurosurgery, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,C_160,Plastic Surgery, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,C_300,General Medicine,"1,045","1,038",99.30%,5.8,12.7,2019,12,RTT_2019_DEC,
Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,C_301,Gastroenterology, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,C_320,Cardiology, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,C_330,Dermatology, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,C_340,Thoracic Medicine, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,C_400,Neurology,104,85,81.70%,7.5,22.8,2019,12,RTT_2019_DEC,
Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,C_410,Rheumatology,366,345,94.30%,7.6,16.8,2019,12,RTT_2019_DEC,
Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,C_430,Geriatric Medicine,14,13,92.90%,-,-,2019,12,RTT_2019_DEC,
Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,C_502,Gynaecology, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,X01,Other,86,83,96.50%,4.9,14,2019,12,RTT_2019_DEC,
Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,C_100,General Surgery,"3,507","2,963",84.50%,8.4,24.1,2019,12,RTT_2019_DEC,
Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,C_101,Urology,"2,560","2,023",79.00%,11,26.4,2019,12,RTT_2019_DEC,
Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,C_110,Trauma & Orthopaedics,"3,529","3,111",88.20%,7.1,20.4,2019,12,RTT_2019_DEC,
Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","3,366","2,923",86.80%,8.4,22.5,2019,12,RTT_2019_DEC,
Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,C_130,Ophthalmology,"5,605","3,812",68.00%,10,30.6,2019,12,RTT_2019_DEC,
Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,C_140,Oral Surgery,"2,472","1,972",79.80%,10.5,27.1,2019,12,RTT_2019_DEC,
Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,C_150,Neurosurgery, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,C_160,Plastic Surgery,92,91,98.90%,4.3,13.6,2019,12,RTT_2019_DEC,
Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,C_170,Cardiothoracic Surgery,197,182,92.40%,6.1,16.8,2019,12,RTT_2019_DEC,
Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,C_300,General Medicine,386,325,84.20%,10.7,20.5,2019,12,RTT_2019_DEC,
Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,C_301,Gastroenterology,"2,169","1,944",89.60%,7.8,20.4,2019,12,RTT_2019_DEC,
Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,C_320,Cardiology,"3,597","3,127",86.90%,9,22.1,2019,12,RTT_2019_DEC,
Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,C_330,Dermatology,"1,713","1,323",77.20%,11.6,26.6,2019,12,RTT_2019_DEC,
Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,C_340,Thoracic Medicine,"1,235","1,056",85.50%,8.5,20.7,2019,12,RTT_2019_DEC,
Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,C_400,Neurology,"2,194","1,790",81.60%,10.5,23.5,2019,12,RTT_2019_DEC,
Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,C_410,Rheumatology,"1,056",994,94.10%,7.7,16.6,2019,12,RTT_2019_DEC,
Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,C_430,Geriatric Medicine,235,226,96.20%,7.5,15.9,2019,12,RTT_2019_DEC,
Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,C_502,Gynaecology,"2,478","2,186",88.20%,7.9,20.3,2019,12,RTT_2019_DEC,
Y60,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,X01,Other,"4,042","3,471",85.90%,7.5,22.5,2019,12,RTT_2019_DEC,
Y60,RLQ,WYE VALLEY NHS TRUST,C_100,General Surgery,753,452,60.00%,14.4,38.8,2019,12,RTT_2019_DEC,
Y60,RLQ,WYE VALLEY NHS TRUST,C_101,Urology,"1,031",764,74.10%,10.6,31.9,2019,12,RTT_2019_DEC,
Y60,RLQ,WYE VALLEY NHS TRUST,C_110,Trauma & Orthopaedics,"1,664","1,269",76.30%,10.9,26.7,2019,12,RTT_2019_DEC,
Y60,RLQ,WYE VALLEY NHS TRUST,C_120,"Ear, Nose & Throat (ENT)","1,162",907,78.10%,9.7,27.8,2019,12,RTT_2019_DEC,
Y60,RLQ,WYE VALLEY NHS TRUST,C_130,Ophthalmology,"2,301","1,945",84.50%,9,23.4,2019,12,RTT_2019_DEC,
Y60,RLQ,WYE VALLEY NHS TRUST,C_140,Oral Surgery,202,144,71.30%,8.9,29.9,2019,12,RTT_2019_DEC,
Y60,RLQ,WYE VALLEY NHS TRUST,C_150,Neurosurgery, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RLQ,WYE VALLEY NHS TRUST,C_160,Plastic Surgery,142,104,73.20%,9.8,25.4,2019,12,RTT_2019_DEC,
Y60,RLQ,WYE VALLEY NHS TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RLQ,WYE VALLEY NHS TRUST,C_300,General Medicine,49,44,89.80%,10.7,28.1,2019,12,RTT_2019_DEC,
Y60,RLQ,WYE VALLEY NHS TRUST,C_301,Gastroenterology,762,602,79.00%,9.7,27.6,2019,12,RTT_2019_DEC,
Y60,RLQ,WYE VALLEY NHS TRUST,C_320,Cardiology,674,551,81.80%,8.7,27,2019,12,RTT_2019_DEC,
Y60,RLQ,WYE VALLEY NHS TRUST,C_330,Dermatology,"1,053",896,85.10%,8.9,21.8,2019,12,RTT_2019_DEC,
Y60,RLQ,WYE VALLEY NHS TRUST,C_340,Thoracic Medicine,668,514,76.90%,10,27.9,2019,12,RTT_2019_DEC,
Y60,RLQ,WYE VALLEY NHS TRUST,C_400,Neurology,356,254,71.30%,11.6,27.8,2019,12,RTT_2019_DEC,
Y60,RLQ,WYE VALLEY NHS TRUST,C_410,Rheumatology,299,273,91.30%,8.4,18.4,2019,12,RTT_2019_DEC,
Y60,RLQ,WYE VALLEY NHS TRUST,C_430,Geriatric Medicine,75,69,92.00%,9.1,18,2019,12,RTT_2019_DEC,
Y60,RLQ,WYE VALLEY NHS TRUST,C_502,Gynaecology,"1,056",838,79.40%,9.4,28.1,2019,12,RTT_2019_DEC,
Y60,RLQ,WYE VALLEY NHS TRUST,X01,Other,"3,250","2,784",85.70%,8,25.4,2019,12,RTT_2019_DEC,
Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_100,General Surgery,627,444,70.80%,11.6,30.4,2019,12,RTT_2019_DEC,
Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_101,Urology,"1,005",758,75.40%,10.5,28.1,2019,12,RTT_2019_DEC,
Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_110,Trauma & Orthopaedics,"1,684","1,194",70.90%,11.5,31,2019,12,RTT_2019_DEC,
Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_120,"Ear, Nose & Throat (ENT)",652,513,78.70%,10.7,27.5,2019,12,RTT_2019_DEC,
Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_130,Ophthalmology,"1,241",884,71.20%,10.5,25.6,2019,12,RTT_2019_DEC,
Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_140,Oral Surgery,898,513,57.10%,15.2,37.3,2019,12,RTT_2019_DEC,
Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_150,Neurosurgery, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_160,Plastic Surgery,265,228,86.00%,7.6,24.3,2019,12,RTT_2019_DEC,
Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_300,General Medicine,220,149,67.70%,11.7,33.5,2019,12,RTT_2019_DEC,
Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_301,Gastroenterology,628,598,95.20%,6.2,16.3,2019,12,RTT_2019_DEC,
Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_320,Cardiology,457,434,95.00%,6.6,13.7,2019,12,RTT_2019_DEC,
Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_330,Dermatology, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_340,Thoracic Medicine,305,268,87.90%,9.2,20,2019,12,RTT_2019_DEC,
Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_400,Neurology, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_410,Rheumatology,294,286,97.30%,7.4,15.1,2019,12,RTT_2019_DEC,
Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_430,Geriatric Medicine,34,34,100.00%,3.5,12.1,2019,12,RTT_2019_DEC,
Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,C_502,Gynaecology,"1,744","1,007",57.70%,15.3,39.4,2019,12,RTT_2019_DEC,
Y60,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,X01,Other,"2,116","1,818",85.90%,7.8,23.2,2019,12,RTT_2019_DEC,
Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,C_100,General Surgery,"1,148","1,004",87.50%,8.5,21.6,2019,12,RTT_2019_DEC,
Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,C_101,Urology,"1,473","1,293",87.80%,8.1,22,2019,12,RTT_2019_DEC,
Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,C_110,Trauma & Orthopaedics,"1,480","1,429",96.60%,5.9,15.6,2019,12,RTT_2019_DEC,
Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,C_120,"Ear, Nose & Throat (ENT)","1,181","1,142",96.70%,5,14.1,2019,12,RTT_2019_DEC,
Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,C_130,Ophthalmology,"2,076","1,881",90.60%,6.3,19.2,2019,12,RTT_2019_DEC,
Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,C_140,Oral Surgery,654,605,92.50%,7.6,17.7,2019,12,RTT_2019_DEC,
Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,C_150,Neurosurgery, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,C_160,Plastic Surgery,914,762,83.40%,7.2,22.5,2019,12,RTT_2019_DEC,
Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,C_300,General Medicine,4,4,100.00%,-,-,2019,12,RTT_2019_DEC,
Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,C_301,Gastroenterology,"1,672","1,540",92.10%,6.4,17.9,2019,12,RTT_2019_DEC,
Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,C_320,Cardiology,714,697,97.60%,5.8,14.9,2019,12,RTT_2019_DEC,
Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,C_330,Dermatology,"1,330","1,136",85.40%,9,20.2,2019,12,RTT_2019_DEC,
Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,C_340,Thoracic Medicine,385,385,100.00%,5.4,11.1,2019,12,RTT_2019_DEC,
Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,C_400,Neurology,659,604,91.70%,7,18.3,2019,12,RTT_2019_DEC,
Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,C_410,Rheumatology,691,639,92.50%,6,17.5,2019,12,RTT_2019_DEC,
Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,C_430,Geriatric Medicine,114,114,100.00%,5.8,13.2,2019,12,RTT_2019_DEC,
Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,C_502,Gynaecology,"1,030",977,94.90%,6,16.4,2019,12,RTT_2019_DEC,
Y60,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,X01,Other,"4,332","4,063",93.80%,6.5,16.6,2019,12,RTT_2019_DEC,
Y60,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,C_100,General Surgery,"1,126","1,004",89.20%,7.8,20.2,2019,12,RTT_2019_DEC,
Y60,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,C_101,Urology,"1,430","1,138",79.60%,10.1,27.1,2019,12,RTT_2019_DEC,
Y60,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,C_110,Trauma & Orthopaedics,"1,373","1,234",89.90%,6.8,19.5,2019,12,RTT_2019_DEC,
Y60,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,C_120,"Ear, Nose & Throat (ENT)","1,549","1,398",90.30%,6.6,19.8,2019,12,RTT_2019_DEC,
Y60,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology,"2,616","2,053",78.50%,9.6,24.5,2019,12,RTT_2019_DEC,
Y60,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,C_140,Oral Surgery,850,740,87.10%,7.2,22.7,2019,12,RTT_2019_DEC,
Y60,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,C_150,Neurosurgery, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,C_160,Plastic Surgery,119,106,89.10%,8.2,20.7,2019,12,RTT_2019_DEC,
Y60,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,C_300,General Medicine, -   , -   , -   ,-,-,2019,12,RTT_2019_DEC,
Y60,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,C_301,Gastroenterology,"1,015",943,92.90%,7,17.3,2019,12,RTT_2019_DEC,
Y60,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,C_320,Cardiology,"2,141","2,003",93.60%,6.3,16.3,2019,12,RTT_2019_DEC,
Y60,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,C_330,Dermatology,"1,112","1,002",90.10%,7.4,20.2,2019,12,RTT_2019_DEC,
Y60,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,C_340,Thoracic Medicine,593,553,93.30%,6.7,17,2019,12,RTT_2019_DEC,
Y60,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,C_400,Neurology,728,644,88.50%,7.1,19.7,2019,12,RTT_2019_DEC,
