Region Code,Provider Code,Provider Name,Treatment Function Code,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Year_Num,Month_Num,Source_File
Y61,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,X05,Other - Surgical Services,76,71,93.40%,3.6,12.9,3,2021,5,RTT_2021_MAY
Y61,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,X06,Other - Other Services,75,59,78.70%,6.3,35,5,2021,5,RTT_2021_MAY
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,C_100,General Surgery Service, -   , -   , -   ,-,-,0,2021,5,RTT_2021_MAY
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,C_101,Urology Service, -   , -   , -   ,-,-,0,2021,5,RTT_2021_MAY
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service, -   , -   , -   ,-,-,0,2021,5,RTT_2021_MAY
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,C_120,Ear Nose and Throat Service, -   , -   , -   ,-,-,0,2021,5,RTT_2021_MAY
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,C_130,Ophthalmology Service, -   , -   , -   ,-,-,0,2021,5,RTT_2021_MAY
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,C_140,Oral Surgery Service, -   , -   , -   ,-,-,0,2021,5,RTT_2021_MAY
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,C_150,Neurosurgical Service, -   , -   , -   ,-,-,0,2021,5,RTT_2021_MAY
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,C_160,Plastic Surgery Service, -   , -   , -   ,-,-,0,2021,5,RTT_2021_MAY
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,C_170,Cardiothoracic Surgery Service,553,356,64.40%,11.5,36.8,11,2021,5,RTT_2021_MAY
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,C_300,General Internal Medicine Service, -   , -   , -   ,-,-,0,2021,5,RTT_2021_MAY
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,C_301,Gastroenterology Service, -   , -   , -   ,-,-,0,2021,5,RTT_2021_MAY
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,C_320,Cardiology Service,"1,487","1,206",81.10%,8.9,25.8,0,2021,5,RTT_2021_MAY
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,C_330,Dermatology Service, -   , -   , -   ,-,-,0,2021,5,RTT_2021_MAY
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,C_340,Respiratory Medicine Service,"1,382","1,297",93.80%,5.2,16.7,0,2021,5,RTT_2021_MAY
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,C_400,Neurology Service, -   , -   , -   ,-,-,0,2021,5,RTT_2021_MAY
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,C_410,Rheumatology Service, -   , -   , -   ,-,-,0,2021,5,RTT_2021_MAY
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,C_430,Elderly Medicine Service, -   , -   , -   ,-,-,0,2021,5,RTT_2021_MAY
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,C_502,Gynaecology Service, -   , -   , -   ,-,-,0,2021,5,RTT_2021_MAY
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,X02,Other - Medical Services, -   , -   , -   ,-,-,0,2021,5,RTT_2021_MAY
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,X03,Other - Mental Health Services, -   , -   , -   ,-,-,0,2021,5,RTT_2021_MAY
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,X04,Other - Paediatric Services, -   , -   , -   ,-,-,0,2021,5,RTT_2021_MAY
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,X05,Other - Surgical Services, -   , -   , -   ,-,-,0,2021,5,RTT_2021_MAY
Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,X06,Other - Other Services, -   , -   , -   ,-,-,0,2021,5,RTT_2021_MAY
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,C_100,General Surgery Service,"4,128","2,968",71.90%,9.4,35.9,129,2021,5,RTT_2021_MAY
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,C_101,Urology Service,"3,718","2,013",54.10%,15.8,68,435,2021,5,RTT_2021_MAY
Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,C_110,Trauma and Orthopaedic Service,"3,892","2,347",60.30%,11.5,41.1,155,2021,5,RTT_2021_MAY
