provider_code,p92_wait_time,pct_change_last_month,waiting_list_change,Random Forest,Treatment_Function,current_pct,total_waiting
R1F,41.8,3.451838632,60,0,General Surgery Service,54.2056,856
R1F,42.2,3.484583518,38,0,Oral Surgery Service,52.3057,759
R1F,30,-0.908378455,-20,0,Other - Medical Services,78.0172,464
R1F,NULL,-41.26984127,-2,0,Other - Mental Health Services,14.2857,7
R1F,35.3,5.178932643,25,0,Respiratory Medicine Service,67.1598,338
R1F,22.3,-5.099673989,101,0,Rheumatology Service,79.8354,486
R1F,34.7,1.756535948,45,0,Urology Service,69.6732,765
R1H,NULL,0,-2,0,Cardiothoracic Surgery Service,100,2
R1H,31.7,-1.449708068,-23,0,Elderly Medicine Service,70.3125,448
R1H,34.8,2.954545455,7,0,General Internal Medicine Service,57.5,40
R1H,38.2,-1.370277841,-48,0,Other - Other Services,67.1171,666
R1K,10.8,20.08547009,-25,0,Elderly Medicine Service,92.3077,65
R1K,NULL,16.17647059,-13,0,General Internal Medicine Service,75,4
R1K,NULL,42.42424242,-15,0,Other - Mental Health Services,100,18
R1K,NULL,14.28571429,-8,0,Other - Other Services,100,13
R1K,27.4,-14.16337286,-3,0,Plastic Surgery Service,40.9091,66
R1K,25,1.028621578,74,0,Rheumatology Service,84.2945,815
RA2,NULL,0,-3,0,General Internal Medicine Service,100,1
RA2,36.5,-14.33570054,-102,0,Other - Other Services,70.7285,755
RA2,26.3,-0.082947374,-50,0,Other - Paediatric Services,68.6828,744
RA2,14.1,3.438268879,-10,0,Plastic Surgery Service,95.0413,121
RA2,47.2,-22.5954601,12,0,Respiratory Medicine Service,48.1838,936
RA2,16.8,0.202537043,-35,0,Rheumatology Service,92.6554,177
RA7,32,6.482488157,10,0,Cardiothoracic Surgery Service,75.1534,326
RA7,21.1,1.811170328,-10,0,Elderly Medicine Service,88.4354,147
RA7,NULL,-13.33333333,-2,0,General Internal Medicine Service,66.6667,3
RA7,40.8,6.426332288,7,0,General Surgery Service,65.5172,29
RA7,36.1,-1.05860927,31,0,Neurology Service,65.7188,633
RA7,19,-1.285714286,-3,0,Other - Mental Health Services,88,25
RA7,31.7,1.86068388,-84,0,Other - Other Services,77.1838,767
RA7,37.9,-0.396133463,-184,0,Rheumatology Service,69.5142,597
RA9,NULL,0,-2,0,Cardiothoracic Surgery Service,100,4
RA9,50.2,-4.513888889,8,0,General Internal Medicine Service,61.1111,72
RA9,NULL,0,0,0,General Surgery Service,100,1
RA9,33.5,-12.93032651,-96,0,Other - Other Services,67.9715,281
RA9,36.3,-0.369390492,35,0,Other - Paediatric Services,63.2883,888
RA9,34,7.811194653,-59,0,Plastic Surgery Service,78.5714,112
RA9,26.5,3.902977649,-36,0,Respiratory Medicine Service,75.3933,890
RAE,15.5,2.434077079,-10,0,Elderly Medicine Service,96.5517,58
RAE,31.5,2.880611805,14,0,Neurology Service,60.0854,937
RAE,27.1,-1.266738005,10,0,Other - Other Services,81.6901,497
RAE,35,-1.540106952,-10,0,Plastic Surgery Service,56,925
RAE,21.1,-1.031424716,52,0,Rheumatology Service,88.6447,546
RAJ,NULL,42.30769231,-11,0,Cardiothoracic Surgery Service,50,2
RAL,32,5.729246881,22,0,Elderly Medicine Service,75.4967,151
RAL,38,-4.825035325,-15,0,General Internal Medicine Service,66.9811,212
RAL,NULL,50,-1,0,Oral Surgery Service,100,1
RAN,24.8,11.9047619,16,0,Gastroenterology Service,78.5714,28
RAN,NULL,0,1,0,Other - Mental Health Services,100,2
RAN,NULL,-16.66666667,-25,0,Other - Other Services,80,5
RAN,26.9,-0.611269418,33,0,Other - Paediatric Services,78.4585,506
RAN,NULL,0,1,0,Plastic Surgery Service,100,7
RAN,23,-5.643044619,35,0,Rheumatology Service,83.3333,162
RAN,33,4.340770791,2,0,Urology Service,65.5172,87
RAS,28.8,10.71483712,1,0,Elderly Medicine Service,78.4314,255
RAS,41.6,0.461135297,83,0,Gastroenterology Service,65.4237,885
RAS,49.6,-12.06131505,-7,0,General Internal Medicine Service,58.209,67
RAS,33.5,1.369391109,-30,0,Other - Other Services,68.8919,749
RAS,31.4,4.697098976,81,0,Other - Paediatric Services,71.25,960
RAX,NULL,4.166666667,-4,0,Elderly Medicine Service,87.5,8
RAX,47.5,-2.774895944,-50,0,General Internal Medicine Service,37.3159,611
RAX,37.8,-4.652397442,-30,0,General Surgery Service,49.1857,921
RAX,22.4,6.481744858,-7,0,Neurology Service,82.702,792
RAX,40.5,3.884202853,2,0,Other - Other Services,61.6162,99
RAX,22.8,3.274171962,27,0,Plastic Surgery Service,78.1473,421
RAX,41.9,-26.61931954,7,0,Respiratory Medicine Service,53.527,964
RAX,12.7,3.161605904,-53,0,Rheumatology Service,99.2048,503
RBD,27.7,-2.072647763,-2,0,Cardiology Service,73.003,989
RBD,24.7,1.363636364,6,0,Elderly Medicine Service,69.697,66
RBD,NULL,83.33333333,-8,0,General Internal Medicine Service,100,4
RBD,NULL,0,2,0,Other - Other Services,100,3
RBD,33.4,0.647214475,-19,0,Other - Paediatric Services,63.9241,158
